feature,importance,rank,importance_pct
n_exceed,0.001698,1,10.6
acceleration_ratio,0.000926,2,5.78
severity_score,0.000916,3,5.72
acceleration_exceed,0.000865,4,5.4
temperature_ratio,0.000741,5,4.63
vibration_ratio,0.000735,6,4.59
courant_mean,0.000731,7,4.56
courant_ratio_flotte,0.000714,8,4.46
shape_factor,0.000645,9,4.03
vib_zscore_flotte,0.000644,10,4.02
vib_energy_mean,0.000644,11,4.02
temp_ratio_flotte,0.000633,12,3.95
impulse_factor,0.000613,13,3.83
vib_ratio_flotte,0.00061,14,3.81
health_score,0.000599,15,3.74
peak2peak,0.000594,16,3.71
temp_zscore_flotte,0.000582,17,3.63
vibration_exceed,0.00057,18,3.56
crest_factor,0.000567,19,3.54
envelope_mean,0.000488,20,3.05
courant_ratio,0.000369,21,2.3
vib_rms,0.00035,22,2.19
vib_skewness,0.000214,23,1.34
vib_kurt,0.000176,24,1.1
temp_trend,0.000173,25,1.08
temp_mean,0.00015,26,0.94
courant_exceed,4.4e-05,27,0.27
spectral_entropy,2.6e-05,28,0.16
temperature_exceed,0.0,29,0.0
