feature,importance,rank,importance_pct
n_exceed,0.00169,1,10.56
severity_score,0.00094,2,5.87
acceleration_ratio,0.000926,3,5.78
acceleration_exceed,0.000849,4,5.3
temperature_ratio,0.000734,5,4.58
courant_ratio_flotte,0.000731,6,4.57
courant_mean,0.000727,7,4.54
vibration_ratio,0.000723,8,4.52
vib_zscore_flotte,0.000651,9,4.07
vib_energy_mean,0.000647,10,4.04
shape_factor,0.000632,11,3.95
temp_ratio_flotte,0.000617,12,3.85
peak2peak,0.000608,13,3.8
vib_ratio_flotte,0.000606,14,3.78
impulse_factor,0.000602,15,3.76
temp_zscore_flotte,0.000595,16,3.72
health_score,0.000589,17,3.68
crest_factor,0.000568,18,3.55
vibration_exceed,0.000562,19,3.51
envelope_mean,0.00049,20,3.06
courant_ratio,0.00037,21,2.31
vib_rms,0.000341,22,2.13
vib_skewness,0.000223,23,1.39
vib_kurt,0.000176,24,1.1
temp_trend,0.000169,25,1.06
temp_mean,0.000147,26,0.92
courant_exceed,6.4e-05,27,0.4
spectral_entropy,3.4e-05,28,0.21
temperature_exceed,0.0,29,0.0
